Date,USRECD,GDP_abs,GDP_rate,CAPE,BAAFFM,BCI,CCI,CLI,IJC,PMIC,T10Y2Y,T10Y3M
1976-06-01,0,1875.2747032967034,5.007692307692308,2.4458192610799534,4.41,4.6157381478501325,4.606125729311124,4.617217326898758,5.974581454327973,58.2,0.68,1.9863201434487674
1976-06-02,0,1875.6508131868131,4.938461538461539,2.4464487504596377,4.413333333333333,4.615610722451539,4.606179966602202,4.6172102452997725,5.967291242897623,58.123333333333335,0.71,1.986136740876968
1976-06-03,0,1876.0269230769231,4.869230769230769,2.447078239839322,4.416666666666667,4.615483297052944,4.606234203893281,4.617203163700786,5.960001031467274,58.04666666666667,0.7,1.9859533383051686
1976-06-04,0,1876.403032967033,4.8,2.447707729219006,4.42,4.615355871654351,4.6062884411843585,4.617196082101801,5.952710820036924,57.97,0.77,1.9857699357333691
1976-06-05,0,1876.779142857143,4.730769230769231,2.4483372185986902,4.423333333333334,4.615228446255756,4.606342678475436,4.6171890005028144,5.945420608606575,57.89333333333334,0.7766666666666667,1.9855865331615696
1976-06-06,0,1877.1552527472527,4.661538461538462,2.4489667079783746,4.426666666666667,4.615101020857162,4.606396915766515,4.617181918903829,5.954476691011721,57.81666666666667,0.7833333333333333,1.9854031305897701
1976-06-07,0,1877.5313626373627,4.592307692307692,2.449596197358059,4.43,4.614973595458568,4.606451153057593,4.617174837304844,5.963532773416866,57.74,0.79,1.9852197280179706
1976-06-08,0,1877.9074725274725,4.523076923076923,2.450225686737743,4.433333333333334,4.614846170059974,4.606505390348671,4.617167755705857,5.972588855822012,57.663333333333334,0.79,1.9850363254461714
1976-06-09,0,1878.2835824175825,4.453846153846154,2.4508551761174275,4.4366666666666665,4.61471874466138,4.60655962763975,4.617160674106872,5.9816449382271575,57.586666666666666,0.82,1.9848529228743719
1976-06-10,0,1878.6596923076922,4.384615384615384,2.4514846654971114,4.44,4.614591319262786,4.606613864930828,4.6171535925078855,5.9907010206323035,57.510000000000005,0.86,1.9846695203025724
1976-06-11,0,1879.0358021978022,4.315384615384615,2.4521141548767957,4.443333333333333,4.614463893864192,4.606668102221906,4.6171465109089,5.999757103037449,57.43333333333334,0.83,1.9844861177307729
1976-06-12,0,1879.411912087912,4.246153846153846,2.45274364425648,4.446666666666666,4.614336468465598,4.606722339512984,4.617139429309915,6.008813185442595,57.35666666666667,0.83,1.9843027151589734
1976-06-13,0,1879.788021978022,4.176923076923077,2.4533731336361644,4.45,4.614209043067004,4.606776576804062,4.617132347710928,6.00597721850649,57.28,0.83,1.984119312587174
1976-06-14,0,1880.1641318681318,4.107692307692307,2.4540026230158487,4.453333333333333,4.614081617668409,4.60683081409514,4.617125266111943,6.003141251570386,57.20333333333333,0.83,1.9839359100153746
1976-06-15,0,1880.5402417582418,4.038461538461538,2.454632112395533,4.456666666666667,4.613954192269816,4.606885051386219,4.6171181845129565,6.0003052846342815,57.126666666666665,0.83,1.9837525074435751
1976-06-16,0,1880.9163516483516,3.9692307692307693,2.4552616017752174,4.46,4.613826766871222,4.606939288677297,4.617111102913971,5.997469317698177,57.05,0.81,1.9835691048717756
1976-06-17,0,1881.2924615384616,3.8999999999999995,2.4558910911549012,4.463333333333333,4.6136993414726275,4.606993525968375,4.617104021314986,5.994633350762072,56.973333333333336,0.79,1.9833857022999761
1976-06-18,0,1881.6685714285713,3.8307692307692305,2.4565205805345856,4.466666666666667,4.613571916074034,4.6070477632594535,4.617096939715999,5.991797383825968,56.89666666666667,0.82,1.9832022997281769
1976-06-19,0,1882.0446813186813,3.7615384615384615,2.45715006991427,4.47,4.613444490675439,4.607102000550531,4.617089858117014,5.988961416889864,56.82,0.83,1.9830188971563774
1976-06-20,0,1882.4207912087911,3.6923076923076916,2.457779559293954,4.473333333333334,4.613317065276846,4.607156237841609,4.617082776518028,5.984599027766995,56.74333333333333,0.84,1.9828354945845779
1976-06-21,0,1882.7969010989011,3.6230769230769226,2.4584090486736385,4.476666666666667,4.613189639878251,4.607210475132688,4.617075694919042,5.980236638644126,56.666666666666664,0.85,1.9826520920127784
1976-06-22,0,1883.173010989011,3.5538461538461537,2.4590385380533224,4.4799999999999995,4.613062214479657,4.607264712423766,4.617068613320057,5.975874249521257,56.59,0.8,1.9824686894409789
1976-06-23,0,1883.549120879121,3.4846153846153847,2.4596680274330067,4.483333333333333,4.612934789081063,4.607318949714844,4.61706153172107,5.9715118603983885,56.513333333333335,0.8,1.9822852868691796
1976-06-24,0,1883.9252307692307,3.415384615384615,2.460297516812691,4.486666666666666,4.612807363682469,4.607373187005923,4.617054450122085,5.96714947127552,56.43666666666667,0.82,1.98210188429738
1976-06-25,0,1884.3013406593407,3.346153846153846,2.4609270061923754,4.49,4.6126799382838755,4.607427424297001,4.617047368523099,5.9627870821526505,56.36,0.81,1.9819184817255806
1976-06-26,0,1884.6774505494504,3.276923076923077,2.4615564955720597,4.493333333333333,4.612552512885281,4.6074816615880785,4.617040286924113,5.958424693029782,56.28333333333333,0.8200000000000001,1.981735079153781
1976-06-27,0,1885.0535604395604,3.207692307692307,2.462185984951744,4.496666666666666,4.612425087486687,4.607535898879157,4.617033205325128,5.96098558106809,56.20666666666666,0.83,1.9815516765819816
1976-06-28,0,1885.4296703296702,3.138461538461538,2.4628154743314283,4.5,4.612297662088093,4.607590136170235,4.617026123726141,5.963546469106396,56.129999999999995,0.84,1.9813682740101823
1976-06-29,0,1885.8057802197802,3.069230769230769,2.463444963711112,4.503333333333333,4.612170236689499,4.607644373461313,4.617019042127156,5.966107357144704,56.053333333333335,0.84,1.9811848714383828
1976-06-30,0,1886.18189010989,3.0,2.4640744530907965,4.506666666666667,4.612042811290904,4.607698610752392,4.61701196052817,5.968668245183012,55.97666666666667,0.84,1.9810014688665833
1976-07-01,0,1886.558,2.991304347826087,2.464703942470481,4.51,4.611915385892311,4.60775284804347,4.617004878929184,5.971229133221319,55.9,0.86,1.9808677102871688
1976-07-02,0,1887.0766413043477,2.982608695652174,2.4642620442653786,4.504838709677419,4.611803914391618,4.607756161883864,4.616994389180756,5.973790021259626,55.854838709677416,0.85,1.9807339517077545
1976-07-03,0,1887.5952826086957,2.973913043478261,2.463820146060277,4.499677419354838,4.611692442890925,4.607759475724258,4.616983899432328,5.976350909297934,55.809677419354834,0.8524999999999999,1.98060019312834
1976-07-04,0,1888.1139239130434,2.965217391304348,2.4633782478551747,4.494516129032258,4.611580971390232,4.607762789564652,4.616973409683901,5.9681427585801075,55.76451612903226,0.855,1.9804664345489256
1976-07-05,0,1888.6325652173914,2.9565217391304346,2.462936349650073,4.489354838709677,4.611469499889539,4.607766103405046,4.616962919935473,5.95993460786228,55.71935483870968,0.8574999999999999,1.980332675969511
